"","Destination","Origin","Product","Year","dist_km","Euros"
"1","LU","BE",1,2007,139.571938559573,2966697
"2","BE","LU",1,2007,139.571938559573,6755030
"3","LU","BE",2,2007,139.571938559573,57078782
"4","BE","LU",2,2007,139.571938559573,7117406
"5","LU","BE",3,2007,139.571938559573,17379821
"6","BE","LU",3,2007,139.571938559573,2622254
"7","LU","BE",4,2007,139.571938559573,64867588
"8","BE","LU",4,2007,139.571938559573,10731757
"9","LU","BE",5,2007,139.571938559573,330702
"10","BE","LU",5,2007,139.571938559573,7706
"11","LU","BE",6,2007,139.571938559573,9405744
"12","BE","LU",6,2007,139.571938559573,43019
"13","LU","BE",7,2007,139.571938559573,36595989
"14","BE","LU",7,2007,139.571938559573,5162727
"15","LU","BE",8,2007,139.571938559573,36530285
"16","BE","LU",8,2007,139.571938559573,1241762
"17","LU","BE",9,2007,139.571938559573,13232087
"18","BE","LU",9,2007,139.571938559573,4790336
"19","LU","BE",10,2007,139.571938559573,5005067
"20","BE","LU",10,2007,139.571938559573,4588369
"21","LU","BE",11,2007,139.571938559573,2096688
"22","BE","LU",11,2007,139.571938559573,4972395
"23","LU","BE",12,2007,139.571938559573,1848554
"24","BE","LU",12,2007,139.571938559573,284769
"25","LU","BE",13,2007,139.571938559573,212552
"26","BE","LU",13,2007,139.571938559573,8566
"27","LU","BE",14,2007,139.571938559573,46270
"28","BE","LU",14,2007,139.571938559573,127029
"29","LU","BE",15,2007,139.571938559573,10415809
"30","BE","LU",15,2007,139.571938559573,378789
"31","LU","BE",16,2007,139.571938559573,36205364
"32","BE","LU",16,2007,139.571938559573,3029387
"33","LU","BE",17,2007,139.571938559573,16943227
"34","BE","LU",17,2007,139.571938559573,458885
"35","LU","BE",18,2007,139.571938559573,26900412
"36","BE","LU",18,2007,139.571938559573,1616752
"37","LU","BE",19,2007,139.571938559573,53696879
"38","BE","LU",19,2007,139.571938559573,7608911
"39","LU","BE",20,2007,139.571938559573,30665763
"40","BE","LU",20,2007,139.571938559573,574553
"195","LU","BE",1,2008,139.571938559573,1839012
"196","BE","LU",1,2008,139.571938559573,11983496
"197","LU","BE",2,2008,139.571938559573,58936854
"198","BE","LU",2,2008,139.571938559573,3842225
"199","LU","BE",3,2008,139.571938559573,16852002
"200","BE","LU",3,2008,139.571938559573,4363988
"201","LU","BE",4,2008,139.571938559573,70462886
"202","BE","LU",4,2008,139.571938559573,9052158
"203","LU","BE",5,2008,139.571938559573,407569
"204","BE","LU",5,2008,139.571938559573,242741
"205","LU","BE",6,2008,139.571938559573,10590393
"206","BE","LU",6,2008,139.571938559573,71495
"207","LU","BE",7,2008,139.571938559573,36179948
"208","BE","LU",7,2008,139.571938559573,4618137
"209","LU","BE",8,2008,139.571938559573,38774737
"210","BE","LU",8,2008,139.571938559573,1730520
"211","LU","BE",9,2008,139.571938559573,14109483
"212","BE","LU",9,2008,139.571938559573,6464946
"213","LU","BE",10,2008,139.571938559573,4537742
"214","BE","LU",10,2008,139.571938559573,3484801
"215","LU","BE",11,2008,139.571938559573,2458481
"216","BE","LU",11,2008,139.571938559573,9448044
"217","LU","BE",12,2008,139.571938559573,1887194
"218","BE","LU",12,2008,139.571938559573,308838
"219","LU","BE",13,2008,139.571938559573,477900
"220","BE","LU",13,2008,139.571938559573,12328
"221","LU","BE",14,2008,139.571938559573,53807
"222","BE","LU",14,2008,139.571938559573,173375
"223","LU","BE",15,2008,139.571938559573,11970121
"224","BE","LU",15,2008,139.571938559573,463331
"225","LU","BE",16,2008,139.571938559573,37863085
"226","BE","LU",16,2008,139.571938559573,2943018
"227","LU","BE",17,2008,139.571938559573,16688615
"228","BE","LU",17,2008,139.571938559573,391551
"229","LU","BE",18,2008,139.571938559573,29290260
"230","BE","LU",18,2008,139.571938559573,710334
"231","LU","BE",19,2008,139.571938559573,61671644
"232","BE","LU",19,2008,139.571938559573,9544099
"233","LU","BE",20,2008,139.571938559573,32489721
"234","BE","LU",20,2008,139.571938559573,1094712
"389","LU","BE",1,2009,139.571938559573,1288066
"390","BE","LU",1,2009,139.571938559573,13312044
"391","LU","BE",2,2009,139.571938559573,61196688
"392","BE","LU",2,2009,139.571938559573,3828928
"393","LU","BE",3,2009,139.571938559573,17774935
"394","BE","LU",3,2009,139.571938559573,4050339
"395","LU","BE",4,2009,139.571938559573,72584409
"396","BE","LU",4,2009,139.571938559573,10042534
"397","LU","BE",5,2009,139.571938559573,907668
